num,angular_velocity
173,5183.98607167
174,5219.97259334
175,5147.98652167
176,5039.96100181
177,4967.92225202
178,4931.93554647
179,4895.93610807
180,4931.9618118
181,5003.9473331
182,5039.92112537
183,4967.97379227
184,4859.94959025
185,4859.92413132
186,4859.94921533
187,4895.94884093
188,5039.9077124
189,5075.86802743
190,5111.89404713
191,5111.9464615
192,5003.98689607
193,4896.0
194,4895.93541768
195,5003.93541768
196,5075.97341788
197,5039.92150336
198,4931.88419435
199,4823.92375373
200,4751.95034225
201,4751.92563236
202,4823.92474677
203,4931.94889506
204,4967.98708327
205,4895.94983144
206,4751.94983144
207,4679.95109502
208,4715.91379241
209,4859.94978065
210,5039.94721029
211,5111.89341716
212,5111.91999901
213,4967.96138314
214,4787.93760924
215,4679.96293498
216,4751.97454106
217,4967.92212616
218,5075.93429396
219,5039.96087554
220,4859.94945653
221,4715.95095411
222,4679.93916082
223,4715.9140768
224,4823.95058023
225,4931.97416667
226,4967.94808494
227,4931.93573007
228,4859.9618118
229,4788.0
230,4860.0
231,5039.96012702
232,5147.9331705
233,5111.95993955
234,5039.94758468
235,4967.94795908
236,4895.93635313
237,4895.93635313
238,4967.94795908
239,5111.90677613
240,5183.93260919
241,5075.94752348
242,4931.93529808
243,4823.97429627
244,4823.9618118
245,4931.9618118
246,5003.94758509
247,5111.92062857
248,5147.94646136
249,5111.97341788
250,5040.0
251,4967.9612502
252,5039.94795907
253,5111.98670887
254,5184.0
255,5183.94683631
256,5111.89367261
257,5075.90752492
258,5039.92137723
259,5003.92193882
260,5003.90883529
261,5111.94758509
262,5148.0
263,4968.0
264,4895.93541768
265,4895.92287534
266,4895.97454093
267,4967.93516875
268,5039.92150336
269,5111.9335449
270,5111.94683589
271,5039.92187816
272,4967.88350317
273,4895.91070726
274,4931.923062
275,5075.90752492
276,5111.93354517
277,5111.94683589
278,5039.93429369
279,4895.96162433
280,4823.98745767
281,4859.94908266
282,4967.93597873
283,5075.94702309
284,5039.96012702
285,4931.97429627
286,4859.93666966
287,4823.96237339
288,4932.0
289,5147.95900384
290,5255.95900384
291,5292.0
292,5219.93329014
293,5039.88162402
294,4931.89717174
295,5003.9087093
296,5183.93254051
297,5255.97266908
298,5184.0
299,5075.97354028
300,5003.92187415
301,4967.93516874
302,5003.94752348
303,5075.90752492
304,5183.89191225
305,5183.90520297
306,5111.94683589
307,5039.98670887
308,5039.97316228
309,5147.93272771
310,5291.93148572
311,5399.95788037
312,5363.95825476
313,5183.97229469
314,5039.96068861
315,5075.93410649
316,5147.97341788
317,5220.0
318,5291.97229469
319,5219.97229469
320,5111.96012702
321,5003.93466809
322,4931.92287494
323,4967.90958408
324,5075.92055644
325,5219.95930624
326,5219.94608752
327,5183.89217504
328,5111.94608752
329,5075.97341788
330,5219.95956515
331,5291.93148601
332,5219.94533874
333,5147.97341788
334,5075.96031394
335,5003.96106274
336,4967.94833334
337,5003.93485528
338,5075.96068861
339,5112.0
340,5111.97341788
341,5039.97341788
342,4967.94808549
343,4931.89716814
344,5003.92250054
345,5111.92025418
346,5219.89115987
347,5291.9033274
348,5219.94552551
349,5147.94664869
350,5075.9336673
351,5075.97354028
352,5183.97266908
353,5255.94533817
354,5255.97266908
355,5219.98652167
356,5147.95993955
357,5111.97341788
358,5111.97341788
359,5255.97341788
360,5399.94384117
361,5363.88816473
362,5255.89041109
363,5183.90539376
364,5147.95930624
365,5219.97202829
366,5363.97202829
367,5435.9428188
368,5435.91473909
369,5327.95799197
370,5183.9461987
371,5147.94664869
372,5291.93036284
373,5435.87270702
374,5471.88618492
375,5435.88712089
