num,angular_velocity
172,19.7264868079
173,19.2675313332
174,19.2675313332
175,18.8088832029
176,18.8088832029
177,19.7263818506
178,19.7263818506
179,19.7269066588
180,19.7270068494
181,19.726691958
182,20.1852447559
183,19.7261862484
184,19.2675332598
185,19.7262768955
186,19.7264772789
187,19.7266871913
188,19.7264868079
189,19.2679340099
190,19.2678338213
191,19.267731704
192,19.7264848811
193,19.7264868079
194,19.2680342026
195,19.2676334609
196,19.2675332681
197,19.2682345881
198,19.7267853676
199,19.7266851728
200,20.1852209146
201,20.1847180452
202,18.8086761325
203,18.8087763169
204,19.2676295908
205,19.7137787335
206,20.1724336488
207,19.7262845062
208,19.7265993911
209,19.7270020762
210,18.8092762546
211,18.8092762546
212,19.726582234
213,20.1851397987
214,19.7264915788
215,19.7264915788
216,19.2676429859
217,18.3498408426
218,18.3502225173
219,19.268234586
220,19.7265993911
221,19.7267043571
222,19.7271070422
223,19.7271070422
224,19.7271070422
225,19.2680342026
226,19.2675332598
227,19.7259763361
228,19.7261747803
229,19.7265946137
230,19.7267949928
231,19.2678299679
232,19.2680322822
233,19.2680342089
234,19.2678318946
235,19.2680322738
236,19.2682345881
237,19.7269973072
238,19.7264963539
239,19.2676315175
240,19.2680322759
241,19.7268971123
242,19.7263942429
243,19.7261843218
244,20.1855596474
245,19.7269066588
246,18.8093621361
247,18.8096627143
248,19.7268903271
249,20.1851377802
250,19.726582234
251,19.7264752606
252,20.1848229085
253,19.7261814755
254,19.2678338276
255,19.7268971123
256,19.7264944273
257,19.267531329
258,19.2676334421
259,19.2679340141
260,19.2677317166
261,19.2672288471
262,19.2676315238
263,19.2674311614
264,19.7261938804
265,20.1857695685
266,19.2684349757
267,18.8095625195
268,18.8092762546
269,19.2680437447
270,20.185244769
271,19.7265774737
272,19.727102271
273,19.727102271
274,18.8093764494
275,18.8091760618
276,19.7267969196
277,19.7265965404
278,19.7264915788
279,20.1853497154
280,19.7268923455
281,19.2681343975
282,19.726696729
283,19.2682250458
284,18.8093621361
285,19.2679320831
286,19.2681324665
287,19.2680322759
288,19.2679320832
289,19.7270068494
290,19.7267043571
291,19.7267043571
292,19.7266041727
293,19.2678319114
294,19.2684349757
295,19.2681343975
296,19.2681343975
297,19.7269973072
298,19.7269973072
299,19.727102271
300,20.1857675478
301,19.7264971882
302,19.2673290315
303,19.2674311425
304,19.2676315175
305,19.2678318925
306,19.7269066588
307,19.7268064702
308,19.7263866193
309,19.7266871913
310,19.268234586
311,19.2678319009
312,19.267531329
313,19.7265965404
314,20.1856646025
315,19.7270020762
316,19.2677317166
317,18.8086779674
318,18.8092810317
319,19.2678319114
320,19.7261843218
321,20.1851397965
322,20.1851377781
323,19.7265849801
324,19.7266899395
325,19.7263893738
326,19.2674311425
327,19.2676315176
328,19.2681343975
329,19.7266804104
330,19.7266804104
331,19.2679320958
332,19.2677317082
333,19.2682345881
334,19.2682345881
335,19.2682345881
336,19.727102271
337,19.7270020762
338,19.268234586
339,19.2683347808
340,19.2683347808
341,19.2680342026
342,19.2675332598
343,19.7260812911
344,19.726281662
345,19.2680342089
346,19.727102271
347,19.268234586
348,18.8094670959
349,19.2683347808
350,19.727207237
351,19.7268064702
352,19.726281662
353,20.1850328208
354,19.7263846009
355,19.2674330712
356,19.2673328847
357,19.2679340224
358,19.2682326613
359,18.8094604
360,19.2682250458
361,19.7267969196
362,19.7270068494
363,19.7269066588
364,19.2676315176
365,19.2678319009
366,19.7266871913
367,19.7263866193
368,19.7265965404
369,19.7268971123
370,19.7268971123
371,20.1856646025
372,19.7266995775
373,19.2680322822
374,19.267833838
